contentid,roomcode,roomtitle,roomcount,available_count,base_person,max_person,offseasonminfee,offseasonmaxfee,peakseasonminfee,peakseasonmaxfee,roombathfacility,roombath,roomhometheater,roomaircondition,roomtv,roompc,roomcable,roominternet,roomrefrigerator,roomtoiletries,roomsofa,roomcook,roomtable,roomhairdryer,roomimg1,roomimg1_alt,roomimg2,roomimg2_alt,roomimg3,roomimg3_alt
2593272,49761,E방(3인 복층),3,0,3,8,80000,130000,100000,130000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593272,49763,N방(3인 온돌),6,1,3,5,80000,130000,100000,130000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593272,49760,A방(3인 복층),15,4,3,4,80000,130000,100000,130000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593272,49762,U방(3인복층),3,1,3,3,80000,130000,100000,130000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2376711,897228,세이지 / 타임,2,2,4,8,120000,150000,151000,195000,,,,1,1,,1,1,1,1,1,1,1,1,,,,,,
2708335,53740,가재동,19,15,4,4,180000,230000,270000,283000,1,,,1,1,,1,1,1,1,1,1,1,1,http://tong.visitkorea.or.kr/cms/resource/88/2707788_image2_1.jpg,강원_가재와곰펜션_가재동 3,http://tong.visitkorea.or.kr/cms/resource/89/2707789_image2_1.jpg,강원_가재와곰펜션_가재동 4,http://tong.visitkorea.or.kr/cms/resource/86/2707786_image2_1.jpg,강원_가재와곰펜션_가재동 1
2708335,53741,와동,3,0,4,6,180000,230000,270000,284000,1,,,1,1,,1,1,1,1,1,1,1,1,http://tong.visitkorea.or.kr/cms/resource/99/2707799_image2_1.jpg,강원_가재와곰펜션_와동 4,http://tong.visitkorea.or.kr/cms/resource/00/2707800_image2_1.jpg,강원_가재와곰펜션_와동 5,http://tong.visitkorea.or.kr/cms/resource/97/2707797_image2_1.jpg,강원_가재와곰펜션_와동 2
2708335,53742,곰동,19,9,4,9,230000,280000,320000,362000,1,,,1,1,,1,1,1,1,1,1,1,1,http://tong.visitkorea.or.kr/cms/resource/95/2707795_image2_1.jpg,강원_가재와곰펜션_곰동 5,http://tong.visitkorea.or.kr/cms/resource/94/2707794_image2_1.jpg,강원_가재와곰펜션_곰동 4,http://tong.visitkorea.or.kr/cms/resource/92/2707792_image2_1.jpg,강원_가재와곰펜션_곰동 2
2708335,53743,황토방,8,2,2,5,100000,120000,130000,161000,1,,,1,1,,1,1,1,1,1,1,1,1,http://tong.visitkorea.or.kr/cms/resource/05/2707805_image2_1.jpg,강원_가재와곰펜션_황토방 5,http://tong.visitkorea.or.kr/cms/resource/04/2707804_image2_1.jpg,강원_가재와곰펜션_황토방 4,http://tong.visitkorea.or.kr/cms/resource/01/2707801_image2_1.jpg,강원_가재와곰펜션_황토방 1
1351349,33106,특실(101호/102호/201호),3,0,4,5,150000,163000,175000,187000,1,1,,1,1,,1,,1,,,1,1,1,,,,,,
1351349,33108,VIP (201호~203호),3,1,2,4,70000,116000,85000,131000,1,,,1,1,,1,,1,,,1,1,1,,,,,,
1351349,33107,커플룸(302호~307호),6,0,2,2,50000,98000,81000,86000,1,,,1,1,,1,,1,,,1,1,1,,,,,,
3102216,45005,자스민[스파],1,0,2,3,89000,189000,102000,189000,1,1,,1,1,,1,1,1,1,1,1,1,1,,,,,,
1979670,43651,type A,7,4,2,2,66300,102300,105300,123300,1,,,1,1,,1,1,1,1,,,1,1,,,,,,
1979670,53057,type B,5,4,4,7,80700,106700,101700,125700,1,,,1,1,,1,1,1,1,,,1,1,,,,,,
1979670,53058,type C,4,2,3,8,31900,49900,57900,69900,1,,,1,1,,1,1,1,1,,,1,1,,,,,,
1979670,53059,type D,3,1,4,8,68400,114400,103400,148400,1,,,1,1,,1,1,1,1,,,1,1,,,,,,
1979670,53060,type E,4,4,2,5,96600,138600,138600,185600,1,,,1,1,,1,1,1,1,,,1,1,,,,,,
1979670,53061,펜션동(독채),1,1,25,30,28800,34800,71800,111800,1,,,1,1,,1,1,1,1,,,1,1,,,,,,
2814152,55804,풀빌라 1호,3,1,2,2,399000,899000,990000,1021000,1,,,1,1,,1,1,1,1,1,1,1,1,,,,,,
2814152,55805,풀빌라 2호,6,6,2,7,399000,899000,990000,1023000,1,,,1,1,,1,1,1,1,1,1,1,1,,,,,,
2814152,55806,풀빌라 3호,3,0,2,3,399000,899000,990000,995000,1,,,1,1,,1,1,1,1,1,1,1,1,,,,,,
2814152,55807,독채,2,0,4,5,799000,1590000,2590000,2625000,1,,,1,1,,1,1,1,1,1,1,1,1,,,,,,
2579457,52388,2인실,11,2,2,6,52000,74000,59000,103000,1,,,1,1,,1,1,1,,,,,1,,,,,,
2579457,52389,4인실,3,2,4,4,62800,87800,72800,101800,1,,,1,1,,1,1,1,,,,,1,,,,,,
1122064,33487,별님(203호),1,1,2,7,50000,60000,77000,87000,1,,,1,1,,1,,1,1,,1,1,1,,,,,,
1122064,33488,햇님(201호),1,1,2,2,60000,70000,86000,117000,1,,,1,1,,1,,1,1,,1,1,1,,,,,,
1122064,35030,달님(202호),1,0,2,3,50000,60000,67000,91000,1,,,1,1,,1,,1,1,,1,1,1,,,,,,
1122064,35031,달님(302호) ,1,1,2,4,60000,70000,80000,106000,1,,,1,1,,1,,1,1,1,1,1,1,,,,,,
1122064,27927,별님(303호)  ,1,0,3,4,60000,70000,95000,139000,1,,,1,1,,1,,1,1,,1,1,1,,,,,,
1122064,27929,햇님(101호)/달님(102호),2,1,6,11,100000,120000,132000,153000,1,,,1,1,,1,,1,1,1,1,1,1,,,,,,
1122064,27928,햇님(301호) ,1,0,4,6,70000,90000,114000,138000,1,,,1,1,,1,,1,1,,1,1,1,,,,,,
940259,22675,SAND(101호),1,0,4,5,120000,160000,160000,200000,1,,,1,1,,1,1,1,1,1,1,1,1,,,,,,
940259,22676,WATER(102호),1,0,6,10,180000,240000,240000,280000,1,,,1,1,,1,1,1,1,1,1,1,1,,,,,,
940259,35641,RIVER(202호),1,0,4,4,100000,140000,140000,180000,1,,,1,1,,1,1,1,1,1,1,1,1,,,,,,
940259,51091,Mountain (201호),1,1,4,6,120000,160000,160000,200000,1,,,1,1,,1,1,1,1,1,1,1,1,,,,,,
2398168,48003,로그케빈,7,4,2,6,150000,160000,180000,211000,,,,1,1,,1,1,1,1,1,,1,1,http://tong.visitkorea.or.kr/cms/resource/06/2579006_image2_1.jpg,강원_정선_강과소나무_로그케빈1,http://tong.visitkorea.or.kr/cms/resource/07/2579007_image2_1.jpg,강원_정선_강과소나무_로그케빈2,,
2398168,48004,도그우드,16,1,2,7,180000,190000,230000,236000,,,,1,1,,1,1,1,1,1,,1,1,http://tong.visitkorea.or.kr/cms/resource/04/2579004_image2_1.jpg,강원_정선_강과소나무_도그우드1,http://tong.visitkorea.or.kr/cms/resource/05/2579005_image2_1.jpg,강원_정선_강과소나무_도그우드2,,
2398168,48006,아이리쉬체인,15,2,2,3,190000,220000,260000,273000,,,,1,1,,1,1,1,1,1,,1,1,http://tong.visitkorea.or.kr/cms/resource/09/2579009_image2_1.jpg,강원_정선_강과소나무_아이리쉬체인1,http://tong.visitkorea.or.kr/cms/resource/11/2579011_image2_1.jpg,강원_정선_강과소나무_아이리쉬체인2,http://tong.visitkorea.or.kr/cms/resource/12/2579012_image2_1.jpg,강원_정선_강과소나무_아이리쉬체인3
2398168,48005,웨딩링,15,7,2,3,180000,200000,250000,261000,,,,1,1,,1,1,1,1,1,,1,1,http://tong.visitkorea.or.kr/cms/resource/21/2579021_image2_1.jpg,강원_정선_강과소나무_웨딩링1,http://tong.visitkorea.or.kr/cms/resource/22/2579022_image2_1.jpg,강원_정선_강과소나무_웨딩링2,http://tong.visitkorea.or.kr/cms/resource/23/2579023_image2_1.jpg,강원_정선_강과소나무_웨딩링3
2398168,49274,아플리케,5,2,2,2,150000,160000,180000,203000,1,,,1,1,,1,1,1,1,1,,1,1,http://tong.visitkorea.or.kr/cms/resource/13/2579013_image2_1.jpg,강원_정선_강과소나무_아플리케1,http://tong.visitkorea.or.kr/cms/resource/15/2579015_image2_1.jpg,강원_정선_강과소나무_아플리케2,,
2398168,57164,레몬스타,4,1,2,6,150000,160000,180000,200000,1,,,1,1,,1,1,1,1,1,,1,1,,,,,,
2575011,53370,더블룸,3,3,1,2,50000,55000,73000,111000,1,,,,,,,,,,,,,,,,,,,
2575011,53371,패밀리룸,4,2,2,3,90000,95000,124000,171000,1,,,,,,,,,,,,,,,,,,,
2650614,50909,크리스탈 더블,4,4,2,7,179000,252000,213000,244000,1,,,1,1,,,1,1,1,,1,,1,,,,,,
2650614,50910,크리스탈 트윈,2,2,2,5,190000,252000,222000,254000,1,,,1,1,,1,1,1,1,,1,,1,,,,,,
2650614,50911,사파이어 더블,14,0,2,7,217000,285000,255000,272000,1,,,1,1,,1,1,1,1,,1,,1,,,,,,
2650614,50912,사파이어 패밀리 더블(3인실),2,2,3,6,277000,335000,301000,306000,1,,,1,1,,1,1,1,1,,1,,1,,,,,,
2650614,58428,사파이어 패밀리 더블(4인실),4,12,4,5,346000,400000,354000,389000,1,,,1,1,,1,1,1,1,,1,,1,,,,,,
2650614,58429,사파이어 디럭스,3,0,2,2,262000,320000,284000,323000,1,,,1,1,,1,1,1,1,,1,,1,,,,,,
2570638,53082,믿음,7,5,1,3,30000,70000,80000,90000,,,,1,1,,,1,1,1,,,,1,,,,,,
2570638,53083,사랑,17,16,2,2,43000,83000,100000,133000,,,,1,1,,,1,1,1,,,,1,,,,,,
2570638,53084,평강,4,0,2,3,50000,100000,140000,175000,,,,1,1,,,1,1,,,,,1,,,,,,
2570638,53085,은혜,18,11,2,7,50000,100000,140000,174000,,,,1,1,,,1,1,,,,,1,,,,,,
2570638,53086,기쁨,18,7,2,3,45000,90000,120000,168000,,,,1,1,,,1,1,,,,,1,,,,,,
2570638,53087,축복,18,6,2,4,48000,98000,138000,167000,,,,1,1,,,1,1,,,,,1,,,,,,
2903046,56557,디럭스패밀리트윈,2,0,4,9,90000,180000,200000,220000,1,1,,1,1,,1,1,1,1,1,,1,1,http://tong.visitkorea.or.kr/cms/resource/13/2950313_image2_1.jpg,강릉 부띠끄호텔 봄봄_디럭스패밀리트윈_2,http://tong.visitkorea.or.kr/cms/resource/14/2950314_image2_1.jpg,강릉 부띠끄호텔 봄봄_디럭스패밀리트윈_1,,
2903046,56558,디럭스패밀리트리플,10,6,4,7,98000,190000,210000,230000,1,1,,1,1,,1,1,1,1,,,1,1,http://tong.visitkorea.or.kr/cms/resource/15/2950315_image2_1.jpg,강릉 부띠끄호텔 봄봄_디럭스패밀리트리플_2,http://tong.visitkorea.or.kr/cms/resource/17/2950317_image2_1.jpg,강릉 부띠끄호텔 봄봄_디럭스패밀리트리플_1,,
2903046,56561,스위트룸,11,0,5,7,135000,265000,260000,290000,1,1,,1,1,,1,1,1,1,1,,1,1,http://tong.visitkorea.or.kr/cms/resource/19/2950319_image2_1.jpg,강릉 부띠끄호텔 봄_스위트룸_2,,,,
2903046,56553,스탠다드더블,18,2,2,3,75000,165000,180000,200000,1,,,1,1,,1,1,1,1,,,1,1,http://tong.visitkorea.or.kr/cms/resource/12/2950312_image2_1.jpg,강릉 부띠끄호텔 봄봄_스탠다드더블_1,,,,
2903046,56555,스탠다드트윈,8,2,2,3,75000,165000,180000,200000,1,,,1,1,,1,1,1,1,,,1,1,http://tong.visitkorea.or.kr/cms/resource/11/2950311_image2_1.jpg,강릉 부띠끄호텔 봄봄_스탠다드트윈_1,,,,
2903046,57548,웜댄콜드맨션,13,1,6,7,390000,490000,680000,724000,1,,,1,1,,1,1,1,1,1,1,1,1,http://tong.visitkorea.or.kr/cms/resource/16/2950316_image2_1.JPG,강릉 부띠끄호텔 봄_웜댄콜드맨션_2,http://tong.visitkorea.or.kr/cms/resource/18/2950318_image2_1.JPG,강릉 부띠끄호텔 봄_웜댄콜드맨션_1,,
3102100,65030,한옥스테이,1,1,2,2,430000,550000,550000,600000,1,,1,1,1,,1,1,1,1,1,1,1,1,,,,,,
2398102,45970,2인실 온돌,6,4,2,2,50000,60000,80000,112000,,,,1,1,1,,1,1,1,,,1,1,,,http://tong.visitkorea.or.kr/cms/resource/12/2684312_image2_1.jpg,(영어기사용) 강릉아이앤지게스트하우스_2인실 온돌룸 추가1,,
2398102,45971,4인실 도미토리,9,2,4,5,20000,25000,30000,52000,,,,1,1,1,,1,1,1,,,1,1,,,,,,
2038173,48014,트윈룸,16,5,2,4,60000,84000,94000,135000,,,,1,,,,1,,1,,,,1,,,,,,
2038173,48010,8인 도미토리룸,19,11,1,6,22000,69000,47000,75000,,,,1,,,,1,,1,,,,1,,,,,,
2038173,48015,더블룸,9,3,1,6,42000,67000,83000,88000,,,,1,,,,1,,1,,,,1,,,,,,
2038173,57169,3인도미토리룸,9,7,1,4,29000,47000,42000,54000,,,,1,,,,,,1,,,,1,http://tong.visitkorea.or.kr/cms/resource/41/2964341_image2_1.png,강릉게스트하우스 중앙점_객실사진추가_3인 도미토리룸,,,,
1989501,42953,홍예헌2,7,7,14,18,220000,250000,280000,309000,,,,1,1,,,1,1,,,,,,http://tong.visitkorea.or.kr/cms/resource/70/2578970_image2_1.jpg,강원_강릉_선교장_홍예헌2_1,http://tong.visitkorea.or.kr/cms/resource/72/2578972_image2_1.jpg,강원_강릉_선교장_홍예헌2_2,http://tong.visitkorea.or.kr/cms/resource/73/2578973_image2_1.jpg,강원_강릉_선교장_홍예헌2_3
1989501,42954,홍예헌1,10,5,12,17,220000,230000,250000,281000,,,,1,1,,,1,1,,,,,,http://tong.visitkorea.or.kr/cms/resource/64/2578964_image2_1.jpg,강원_강릉_선교장_홍예헌1_1,http://tong.visitkorea.or.kr/cms/resource/68/2578968_image2_1.jpg,강원_강릉_선교장_홍예헌1_2,http://tong.visitkorea.or.kr/cms/resource/69/2578969_image2_1.jpg,강원_강릉_선교장_홍예헌1_3
1989501,42956,초가2,19,2,6,7,150000,170000,200000,240000,1,,,1,1,,,1,1,,,1,,,http://tong.visitkorea.or.kr/cms/resource/49/2578949_image2_1.jpg,강원_강릉_선교장_초가2_1,http://tong.visitkorea.or.kr/cms/resource/52/2578952_image2_1.jpg,강원_강릉_선교장_초가2_2,http://tong.visitkorea.or.kr/cms/resource/53/2578953_image2_1.jpg,강원_강릉_선교장_초가2_3
1989501,42957,초가1,18,3,6,11,150000,170000,200000,249000,,,,1,1,,,1,1,,,1,,,http://tong.visitkorea.or.kr/cms/resource/42/2578942_image2_1.jpg,강원_강릉_선교장_초가1_1,http://tong.visitkorea.or.kr/cms/resource/44/2578944_image2_1.jpg,강원_강릉_선교장_초가1_2,http://tong.visitkorea.or.kr/cms/resource/46/2578946_image2_1.jpg,강원_강릉_선교장_초가1_3
1989501,42958,중랑채,3,1,6,11,120000,130000,150000,168000,,,,1,1,,,1,1,,,,,,http://tong.visitkorea.or.kr/cms/resource/36/2578936_image2_1.jpg,강원_강릉_선교장_중사랑1,http://tong.visitkorea.or.kr/cms/resource/38/2578938_image2_1.jpg,강원_강릉_선교장_중사랑2,http://tong.visitkorea.or.kr/cms/resource/39/2578939_image2_1.jpg,강원_강릉_선교장_중사랑3
1989501,42959,행랑채,5,5,6,8,50000,60000,70000,99000,,,,1,1,,,1,1,,,,,,http://tong.visitkorea.or.kr/cms/resource/57/2578957_image2_1.jpg,강원_강릉_선교장_행랑채1~5_1,http://tong.visitkorea.or.kr/cms/resource/59/2578959_image2_1.jpg,강원_강릉_선교장_행랑채1~5_2,http://tong.visitkorea.or.kr/cms/resource/61/2578961_image2_1.jpg,강원_강릉_선교장_행랑채1~5_3
1989501,42960,연지당,16,14,7,8,150000,170000,200000,226000,,,,1,1,,,1,1,,,,,,http://tong.visitkorea.or.kr/cms/resource/19/2578919_image2_1.jpg,강원_강릉_선교장_연지당1,http://tong.visitkorea.or.kr/cms/resource/21/2578921_image2_1.jpg,강원_강릉_선교장_연지당2,,
1989501,42961,서별당,4,3,6,6,220000,250000,300000,335000,1,,,1,1,,,1,1,,,,1,,http://tong.visitkorea.or.kr/cms/resource/16/2578916_image2_1.jpg,강원_강릉_선교장_서별당1,http://tong.visitkorea.or.kr/cms/resource/17/2578917_image2_1.jpg,강원_강릉_선교장_서별당2,http://tong.visitkorea.or.kr/cms/resource/18/2578918_image2_1.jpg,강원_강릉_선교장_서별당3
1989501,42962,전통문화체험관,17,4,30,34,550000,600000,700000,721000,1,,,1,1,,,1,1,,,,,,http://tong.visitkorea.or.kr/cms/resource/29/2578929_image2_1.jpg,강원_강릉_선교장_전통문화체험관1,http://tong.visitkorea.or.kr/cms/resource/33/2578933_image2_1.jpg,강원_강릉_선교장_전통문화체험관3,http://tong.visitkorea.or.kr/cms/resource/32/2578932_image2_1.jpg,강원_강릉_선교장_전통문화체험관2
587289,47591,본관,9,5,6,7,80000,101000,113000,149000,,,,,,,,,,,,,,,,,,,,
587289,47592,별관A,5,1,1,3,150000,163000,200000,234000,,,,,,,,,,,,,,,,,,,,
587289,47593,별관B,15,8,18,23,100000,130000,150000,163000,,,,,,,,,,,,,,,,,,,,
2531222,48071,일반형,4,0,3,6,110000,130000,160000,203000,,,,1,1,,1,1,1,1,,,1,1,http://tong.visitkorea.or.kr/cms/resource/03/2529803_image2_1.jpg,숙박_강원_강릉시청(강릉오죽한옥마을)_입지관1,http://tong.visitkorea.or.kr/cms/resource/04/2529804_image2_1.jpg,숙박_강원_강릉시청(강릉오죽한옥마을)_입지관2,,
