contentid,title,class,area,sigungu,addr,tel,firstimage,firstimage2
1122064,강가에 하얀집 펜션,펜션,강원특별자치도,영월군,강원특별자치도 영월군 영월읍 선돌길 83-9,033-373-1139,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image3_1.jpg
940259,강가의성,펜션,강원특별자치도,홍천군,강원특별자치도 홍천군 북방면 굴지강변로 281,033-433-8309,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image3_1.jpg
2398168,강과 소나무,펜션,강원특별자치도,정선군,강원특별자치도 정선군 북평면 졸드루길 31-57,010-3757-1147,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image3_1.jpg
2575011,강구안게스트하우스,게스트하우스,경상남도,통영시,경상남도 통영시 동충4길 56,010-9287-8001,,
2574118,강남스테이힐,게스트하우스,서울특별시,강남구,서울특별시 강남구 테헤란로13길 65,010-2746-7882,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg
2650614,강남아르누보씨티호텔,관광호텔,서울특별시,서초구,서울특별시 서초구 서초대로74길 49,02-580-7300/7400,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg
3079947,강남패밀리호텔,관광호텔,서울특별시,강남구,서울특별시 강남구 봉은사로 143 (논현동),,,
2756802,강동리조트 프라이빗콘도,관광단지,경상북도,경주시,경상북도 경주시 보불로 391,,http://tong.visitkorea.or.kr/cms/resource/40/2756940_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2756940_image2_1.jpg
2570638,강령전,한옥,전북특별자치도,전주시,전북특별자치도 전주시 완산구 태조로 26-24,,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG
2913612,강릉 로뎀나무 펜션,펜션,강원특별자치도,강릉시,강원특별자치도 강릉시 해안로621번길 12 (안현동),,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image3_1.jpg
2903046,강릉 부띠끄호텔 봄봄,관광호텔,강원특별자치도,강릉시,강원특별자치도 강릉시 교동광장로100번길 19,033-645-5511,http://tong.visitkorea.or.kr/cms/resource/10/2950310_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2950310_image3_1.jpg
3102100,강릉 스테이인옥,한옥,강원특별자치도,강릉시,강원특별자치도 강릉시 칠성로711번길 18-4 (노암동),010-6378-7008,,
2626916,강릉 지중해펜션,민박,강원특별자치도,강릉시,강원특별자치도 강릉시 사천면 해안로 904-22,010-3348-4912,,
2398102,강릉ing게스트하우스,모텔,강원특별자치도,강릉시,강원특별자치도 강릉시 용지각길 19,010-5919-0050,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image3_1.jpg
2038173,강릉게스트하우스 중앙점,게스트하우스,강원특별자치도,강릉시,강원특별자치도 강릉시 경강로2103번길 17,010-9299-7199,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image3_1.jpg
1989501,강릉선교장,한옥,강원특별자치도,강릉시,강원특별자치도 강릉시 운정길 63 선교장,033-648-5311,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image3_1.jpg
2531222,강릉오죽한옥마을,한옥,강원특별자치도,강릉시,강원특별자치도 강릉시 죽헌길 114,033-655-1117,http://tong.visitkorea.or.kr/cms/resource/56/3067856_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3067856_image3_1.jpg
138547,강변에서 황토콘도,펜션,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 내린천로 5384,033-462-0629,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image3_1.jpg
678537,강변의수채화 펜션,펜션,강원특별자치도,홍천군,강원특별자치도 홍천군 북방면 노일로310번길 15,010-2679-3536,http://tong.visitkorea.or.kr/cms/resource/73/680173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/680173_image3_1.jpg
2760767,강애산애펜션,펜션,강원특별자치도,평창군,강원특별자치도 평창군 봉평면 흥정계곡1길 23,,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG
2568981,강이 있는 풍경 ,펜션,경상북도,문경시,경상북도 문경시 마성면 구랑로 333,010-5287-3375,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg
137913,강이흐르는마을 펜션,펜션,강원특별자치도,정선군,강원특별자치도 정선군 정선읍 군언길 129,033-563-7979,http://tong.visitkorea.or.kr/cms/resource/04/1825804_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/1825804_image3_1.jpg
136962,강천각모텔,모텔,전북특별자치도,순창군,전북특별자치도 순창군 팔덕면 강천산길 85,063-652-9930,,
139190,강촌 느티나무마을펜션,펜션,강원특별자치도,춘천시,강원특별자치도 춘천시 남산면 강촌로 80-1,033-261-0051,http://tong.visitkorea.or.kr/cms/resource/81/2045681_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/81/2045681_image2_1.JPG
1802452,강촌w펜션,펜션,강원특별자치도,춘천시,강원특별자치도 춘천시 남산면 강촌로 143,010-9272-5679,,
2913427,강촌잠빌펜션,펜션,강원특별자치도,춘천시,강원특별자치도 춘천시 남산면 강촌로 250,,http://tong.visitkorea.or.kr/cms/resource/06/2920006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2920006_image3_1.jpg
2814166,강현재,한옥,전라남도,보성군,전라남도 보성군 가내길 31-1,010-9220-5904,http://tong.visitkorea.or.kr/cms/resource/11/3008911_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3008911_image3_1.jpg
136605,강화유스호스텔,유스호스텔,인천광역시,강화군,인천광역시 강화군 내가면 해안서로 972,032-933-8891,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image3_1.jpg
2521964,강화평화빌리지,모텔,인천광역시,강화군,인천광역시 강화군 송해면 상도숭뢰길 183,"032-930-7058, 7062",http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG
2761333,개여울,펜션,강원특별자치도,평창군,강원특별자치도 평창군 봉평면 흥정계곡3길 70,,http://tong.visitkorea.or.kr/cms/resource/60/2764860_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2764860_image2_1.jpg
913186,개울가펜션,펜션,경기도,양평군,경기도 양평군 서종면 황순원로 103,031-774-4226,http://tong.visitkorea.or.kr/cms/resource/83/1942383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942383_image3_1.jpg
2574326,개울한옥민박,한옥,전라남도,해남군,전라남도 해남군 옥천면 도림길 81,010-9626-5848,http://tong.visitkorea.or.kr/cms/resource/38/2573738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2573738_image2_1.jpg
3102050,객리당,한옥,전북특별자치도,전주시,전북특별자치도 전주시 완산구 태진로 26 (태평동),010-4681-1937,,
2569612,갤러리 마중,게스트하우스,경상남도,창원시,경상남도 창원시 진해구 충장로445번길 5,010-3178-7901,http://tong.visitkorea.or.kr/cms/resource/28/2567828_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/28/2567828_image2_1.JPG
139867,갤러리&펜션 풍경소리,펜션,강원특별자치도,인제군,강원특별자치도 인제군 기린면 설피밭길 661,033-463-1209,http://tong.visitkorea.or.kr/cms/resource/43/2944043_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/2944043_image3_1.JPG
628541,갤러리하우스모텔,모텔,강원특별자치도,화천군,강원특별자치도 화천군 화천읍 중앙로2길 31-10,033-441-7999,http://tong.visitkorea.or.kr/cms/resource/78/1853078_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1853078_image3_1.jpg
139224,갤럭시 모텔,모텔,강원특별자치도,정선군,강원특별자치도 정선군 사북읍 소금강로 3489,033-592-9923,http://tong.visitkorea.or.kr/cms/resource/20/207320_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/207320_image3_1.jpg
2004586,갤럭시관광호텔,관광호텔,경상북도,포항시,경상북도 포항시 북구 해안로 93,054-251-9988,http://tong.visitkorea.or.kr/cms/resource/53/2004653_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2004653_image2_1.jpg
3080181,갤럭시호텔,관광호텔,서울특별시,영등포구,서울특별시 영등포구 버드나루로 90 (당산동),,,
3105325,갬성하우스,펜션,강원특별자치도,원주시,강원특별자치도 원주시 이화5길 34-7 (단계동),010-3113-0830,,
2575042,갯내음 펜션,펜션,경상남도,통영시,경상남도 통영시 산양읍 논아랫개길 134-51,,,
590873,갯바위펜션,펜션,경상남도,통영시,경상남도 통영시 용남면 견유1길 175,010-4850-5230,http://tong.visitkorea.or.kr/cms/resource/57/1899757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/1899757_image3_1.jpg
945148,갯벌부흥펜션,펜션,충청남도,태안군,충청남도 태안군 남면 진산1길 195-14,041-675-1262,,
2593235,거목장민박 ,한옥,전라남도,해남군,전라남도 해남군 민박촌길 63 거목민박,061-535-1456,http://tong.visitkorea.or.kr/cms/resource/63/3021963_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3021963_image3_1.jpg
397642,거제 썬트리팜리조트,유스호스텔,경상남도,거제시,경상남도 거제시 남부면 거제대로 283,055-632-7977,http://tong.visitkorea.or.kr/cms/resource/48/1981448_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/1981448_image3_1.jpg
142984,거제관광호텔,관광호텔,경상남도,거제시,경상남도 거제시 거제중앙로 1898-5,055-632-7002,http://tong.visitkorea.or.kr/cms/resource/39/1981439_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1981439_image3_1.jpg
1855463,거제더비치펜션,펜션,경상남도,거제시,경상남도 거제시 장목면 거제북로 2738-1,055-634-4900,,
138703,거제도 펜션팔색조,펜션,경상남도,거제시,경상남도 거제시 일운면 북병산로 460,010-6420-6628,http://tong.visitkorea.or.kr/cms/resource/64/1981364_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1981364_image3_1.jpg
139689,거제도섬마을펜션,펜션,경상남도,거제시,경상남도 거제시 일운면 거제대로 1988-10,010-9239-6343,http://tong.visitkorea.or.kr/cms/resource/73/2436173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2436173_image2_1.jpg
2578477,거제뷰골프텔,콘도미니엄,경상남도,거제시,경상남도 거제시 거제면 두동로 259-80,055-639-2222,,
143125,거제삼성호텔,관광호텔,경상남도,거제시,경상남도 거제시 장평3로 80-37,055-631-2114,http://tong.visitkorea.or.kr/cms/resource/78/1609978_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1609978_image3_1.jpg
3044521,거제스테이,모텔,경상남도,거제시,경상남도 거제시 거제중앙로17길 5 (고현동),010-6668-4808,,
2578490,거제오션호텔,관광호텔,경상남도,거제시,경상남도 거제시 옥포로2길 13,055-730-9600,,
3103316,거창서핑파크,펜션,경상남도,거창군,경상남도 거창군 위천면 거차1길 23-18,055-945-8800,,
2572777,게더링 앳 홍대1,게스트하우스,서울특별시,마포구,서울특별시 마포구 동교로47길 3,010-5155-9995,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG
2572779,게더링 앳 홍대2,게스트하우스,서울특별시,마포구,서울특별시 마포구 동교로47길 3,010-5155-9995,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/93/2571393_image2_1.PNG
2664520,게스트145,게스트하우스,광주광역시,동구,광주광역시 동구 구성로194번길 19,0504-4016-3534,,
2569003,게스트하우스 play at home,게스트하우스,경상북도,안동시,경상북도 안동시 금곡길 21-8,010-3538-0785,http://tong.visitkorea.or.kr/cms/resource/72/2566872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2566872_image2_1.jpg
2574220,게스트하우스 류가,게스트하우스,서울특별시,마포구,서울특별시 마포구 독막로7길 19,010-5417-1977,http://tong.visitkorea.or.kr/cms/resource/07/2573607_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/07/2573607_image2_1.JPG
2600730,게스트하우스 리좀,게스트하우스,경상남도,창원시,경상남도 창원시 마산합포구 동서북14길 24,070-8822-2081,,
3102121,게스트하우스 만나,게스트하우스,대구광역시,중구,대구광역시 중구 명륜로 121-37 (봉산동),010-3533-2452,,
3101943,게스트하우스 몽자,게스트하우스,서울특별시,용산구,서울특별시 용산구 보광로50길 3 (이태원동),"0507-1324-3144, 0503-5052-8158",,
2569871,게스트하우스 소설여행,게스트하우스,전북특별자치도,군산시,전북특별자치도 군산시 월명로 516-1,,,
2594149,게스트하우스 여정 ,게스트하우스,전북특별자치도,군산시,전북특별자치도 군산시 구영2길 25,010-8098-2202,http://tong.visitkorea.or.kr/cms/resource/12/2652012_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2652012_image2_1.jpg
2575102,게스트하우스 위드,게스트하우스,경상남도,통영시,경상남도 통영시 항남1길 18,010-4842-0077,,
2607620,게스트하우스강남,게스트하우스,서울특별시,강남구,서울특별시 강남구 압구정로34길 33,010-8282-3580,,
2575689,게스트하우스여정,게스트하우스,전북특별자치도,군산시,전북특별자치도 군산시 구영2길 25,"010-3673-8019, 010-7361-2202",http://tong.visitkorea.or.kr/cms/resource/43/2575343_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2575343_image2_1.jpg
2570229,결성향교,한옥,충청남도,홍성군,충청남도 홍성군 결성면 홍남서로707번길 21-8,010-6512-6112,http://tong.visitkorea.or.kr/cms/resource/74/2568074_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/74/2568074_image2_1.JPG
2609894,경기전 연가,한옥,전북특별자치도,전주시,전북특별자치도 전주시 완산구 어진길 82-6,010-8835-6698,,
1144607,경원BIZ모텔,모텔,울산광역시,동구,울산광역시 동구 녹수7길 58,052-233-2000,http://tong.visitkorea.or.kr/cms/resource/53/2606153_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/2606153_image2_1.JPG
2475088,경원재 앰배서더 인천,관광호텔,인천광역시,연수구,인천광역시 연수구 테크노파크로 200,032-729-1101,http://tong.visitkorea.or.kr/cms/resource/67/2475067_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2475067_image2_1.jpg
2570570,경주 감포한옥펜션,한옥,경상북도,경주시,경상북도 경주시 감포읍 감포로10길 40-11,010-7511-2688,http://tong.visitkorea.or.kr/cms/resource/63/2568463_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2568463_image2_1.jpg
2604602,경주 교동한옥집,한옥,경상북도,경주시,경상북도 경주시 천원안길 21-6,,,
2770730,경주 노벰버키즈앤스파,관광단지,경상북도,경주시,경상북도 경주시 감포읍 감포로 226-4,,http://tong.visitkorea.or.kr/cms/resource/23/2771823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2771823_image2_1.jpg
3049913,경주 소울메이트,모텔,경상북도,경주시,경상북도 경주시 태종로685번길 28 (노서동),010-5316-1138,http://tong.visitkorea.or.kr/cms/resource/73/3059473_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3059473_image3_1.jpg
1991611,경주 아드리아 펜션,펜션,경상북도,경주시,경상북도 경주시 천군1길 13,054-775-0158,http://tong.visitkorea.or.kr/cms/resource/92/1991592_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/1991592_image2_1.jpg
2662883,경주 오릉 한옥,한옥,경상북도,경주시,경상북도 경주시 국당1길 15-1,,,
2663054,경주 춘추관,한옥,경상북도,경주시,경상북도 경주시 대경로 4821-5,,,
2570737,경주 파인데이 게스트하우스,게스트하우스,경상북도,경주시,경상북도 경주시 원화로 178-3,010-9449-2721,http://tong.visitkorea.or.kr/cms/resource/70/2568470_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2568470_image2_1.jpg
397640,경주 포시즌 게스트하우스,유스호스텔,경상북도,경주시,경상북도 경주시 영불로 217,054-743-2202,http://tong.visitkorea.or.kr/cms/resource/33/1885933_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/1885933_image3_1.jpg
2663296,경주 한옥,한옥,경상북도,경주시,경상북도 경주시 도초길 124-31,,,
3102068,경주 황리단길 한옥 독채 풀빌라 무와,한옥,경상북도,경주시,경상북도 경주시 첨성로49번길 32-2 (사정동),010-4176-1811,,
2446529,경주수호정 ,게스트하우스,경상북도,경주시,경상북도 경주시 포석로1068번길 15-15,010-2379-7248,http://tong.visitkorea.or.kr/cms/resource/11/2635611_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2635611_image3_1.jpg
970463,경주스위트호텔,관광호텔,경상북도,경주시,경상북도 경주시 보문로 280-12,,http://tong.visitkorea.or.kr/cms/resource/18/1337418_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/1337418_image3_1.jpg
912647,경주애견펜션 노비오스,펜션,경상북도,경주시,경상북도 경주시 진티길 37-4,010-4595-4623,http://tong.visitkorea.or.kr/cms/resource/00/2499400_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2499400_image2_1.jpg
2528126,경주엔한옥펜션,펜션,경상북도,경주시,경상북도 경주시 충효서악길 81,010-6778-0391,,
2706608,경주오릉한옥 ,한옥,경상북도,경주시,경상북도 경주시 국당2길 12-17,"010-8858-3183, 카카오톡(orung2)",http://tong.visitkorea.or.kr/cms/resource/35/2706135_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2706135_image3_1.jpg
2700309,경주읍성한옥,한옥,경상북도,경주시,경상북도 경주시 봉황로116번길 14-3,,,
2047199,경주천년한옥펜션,펜션,경상북도,경주시,경상북도 경주시 시동로 86-61,010-9898-3995,http://tong.visitkorea.or.kr/cms/resource/27/2635527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2635527_image3_1.jpg
2603652,경주한옥,한옥,경상북도,경주시,경상북도 경주시 도초길 124-31,010-9558-6718,,
2531357,경주한옥1번가,한옥,경상북도,경주시,경상북도 경주시 천원1길 20,010-9505-5367,http://tong.visitkorea.or.kr/cms/resource/15/3021415_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3021415_image3_1.jpg
2017391,경주햇살가득 애견펜션,펜션,경상북도,경주시,경상북도 경주시 하동1길 39-5,054-773-3100,,
139204,경주황룡유스호스텔,유스호스텔,경상북도,경주시,경상북도 경주시 불국신택지6길 9,054-772-6666,http://tong.visitkorea.or.kr/cms/resource/91/1885891_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1885891_image3_1.jpg
2603913,경주후연지 한옥펜션,한옥,경상북도,경주시,경상북도 경주시 내남면 포석로 435-7,010-4624-6880,,
1972448,경주휴원,게스트하우스,경상북도,경주시,경상북도 경주시 충효서악길 154,010-5651-1253,http://tong.visitkorea.or.kr/cms/resource/40/2691040_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2691040_image3_1.jpg
3102224,경주힐스,펜션,경상북도,경주시,경상북도 경주시 도초길 104-129 (율동),010-6706-1516,,
142816,경포 비치 관광 호텔,관광호텔,강원특별자치도,강릉시,강원특별자치도 강릉시 해안로406번길 17,033-643-6699,,
2913606,경포도도애견펜션,펜션,강원특별자치도,강릉시,강원특별자치도 강릉시 하남길 197-15,,http://tong.visitkorea.or.kr/cms/resource/71/2920171_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2920171_image3_1.jpg
1992481,경포비치펜션,펜션,강원특별자치도,강릉시,강원특별자치도 강릉시 하남길 345-3,010-8792-9721,http://tong.visitkorea.or.kr/cms/resource/59/1992459_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/1992459_image2_1.jpg
973640,경포우성펜션,펜션,강원특별자치도,강릉시,강원특별자치도 강릉시 경포로463번안길 9-3,033-644-5048,http://tong.visitkorea.or.kr/cms/resource/38/2383438_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2383438_image2_1.jpg
3102215,경함정,한옥,경상북도,안동시,경상북도 안동시 임하면 금소4길 23-4,0507-1466-9887,,
946313,계곡의아침,펜션,경기도,포천시,경기도 포천시 신북면 깊이울로 188,010-9011-8943<br />010-2709-8943,http://tong.visitkorea.or.kr/cms/resource/93/1787093_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/1787093_image3_1.jpg
397793,계룡산작은쉼터,펜션,충청남도,공주시,충청남도 공주시 계룡면 되찬길 48-3,010-5003-7872,http://tong.visitkorea.or.kr/cms/resource/21/1871621_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/1871621_image3_1.jpg
1867200,계림궁,펜션,경상북도,경주시,경상북도 경주시 포석로 932,054-776-8122,http://tong.visitkorea.or.kr/cms/resource/67/2543967_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2543967_image3_1.jpg
2760291,계방산자연농원,펜션,강원특별자치도,평창군,강원특별자치도 평창군 용평면 지옆골길 42-8,,http://tong.visitkorea.or.kr/cms/resource/24/2767324_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2767324_image2_1.jpg
2932873,계와고택,한옥,경상북도,안동시,경상북도 안동시 금소중앙길 56-1,010-5309-9887,,
2760209,계절이 지나가는 하늘,펜션,강원특별자치도,평창군,강원특별자치도 평창군 용평면 태기로 1034,,http://tong.visitkorea.or.kr/cms/resource/36/2764536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2764536_image2_1.jpg
3101964,고기리 다온스테이,한옥,경기도,용인시,경기도 용인시 수지구 호수로52번길 51 (고기동),010-2764-5251,,
2907711,고다리조트,펜션,강원특별자치도,철원군,강원특별자치도 철원군 갈말로 653,,http://tong.visitkorea.or.kr/cms/resource/04/2907704_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2907704_image3_1.jpg
